simulation_NoBosting_7,simulation_NoBosting_case1,simulation_BostingScalarFuse_0,simulation_BostingScalarFuseVector_case1,simulation_BostingScalar_case1,simulation_BostingScalarFuse_case1,simulation_BostingScalarFuse_6,simulation_NoBosting_6,simulation_Baseline_case1,simulation_Baseline_7,simulation_BostingScalar_6,simulation_Bosting_case1,simulation_Baseline_6,simulation_BostingScalarFuseVector_6,simulation_1_Baseline,simulation_1_NoBosting,simulation_1_BostingScalar,simulation_1_BostingScalarFuse,simulation_1_BostingScalarFuseVector,simulation_2_Baseline,simulation_2_NoBosting,simulation_2_BostingScalar,simulation_2_BostingScalarFuse,simulation_2_BostingScalarFuseVector,simulation_3_Baseline,simulation_3_NoBosting,simulation_3_BostingScalar,simulation_3_BostingScalarFuse,simulation_3_BostingScalarFuseVector,simulation_5_Baseline,simulation_5_NoBosting,simulation_5_BostingScalar,simulation_5_BostingScalarFuse,simulation_5_BostingScalarFuseVector,simulation_6_Baseline,simulation_6_NoBosting,simulation_6_BostingScalar,simulation_6_BostingScalarFuse,simulation_6_BostingScalarFuseVector,simulation_8_Baseline,simulation_8_NoBosting,simulation_8_BostingScalar,simulation_8_BostingScalarFuse,simulation_8_BostingScalarFuseVector,simulation_72_Baseline,simulation_72_NoBosting,simulation_72_BostingScalar,simulation_72_BostingScalarFuse,simulation_72_BostingScalarFuseVector,simulation_73_Baseline,simulation_73_NoBosting,simulation_73_BostingScalar,simulation_73_BostingScalarFuse,simulation_73_BostingScalarFuseVector,simulation_74_Baseline,simulation_74_NoBosting,simulation_74_BostingScalar,simulation_74_BostingScalarFuse,simulation_74_BostingScalarFuseVector,simulation_75_Baseline,simulation_75_NoBosting,simulation_75_BostingScalar,simulation_75_BostingScalarFuse,simulation_75_BostingScalarFuseVector
2048.0,722.0980392156863,656.564705882353,558.7137254901961,722.0980392156863,771.356862745098,866.3843137254902,722.0980392156863,2048.0,2048.0,806.1490196078431,87500.0,2048.0,849.2470588235294,4096.0,4096.0,4096.0,4096.0,4096.0,2048.0,2048.0,2048.0,2048.0,1180.0,2048.0,2048.0,2048.0,2048.0,1104.0,2048.0,2048.0,2048.0,2048.0,1126.4,2048.0,2048.0,2048.0,2048.0,1072.0,2048.0,2048.0,2048.0,2048.0,1142.4,2048.0,2048.0,2048.0,2048.0,1024.0,2048.0,2048.0,2048.0,2048.0,1072.7619047619048,2048.0,2048.0,2048.0,2048.0,1024.0,2048.0,2048.0,2048.0,2048.0,1219.047619047619
2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,180000.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,1920.0,1920.0,1920.0,1920.0,1920.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0125,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,4480.0,1280.0,1280.0,1280.0,1280.0
225280.0,39627.62068965517,56320.0,36955.93103448276,39627.62068965517,39627.62068965517,56320.0,39627.62068965517,168960.0,168960.0,56320.0,196608.0,168960.0,52854.06896551724,337920.0,450560.0,449393.6,357632.0,357632.0,337920.0,393580.0,392088.671875,389699.46875,268611.578125,337920.0,393580.0,391946.3125,392423.8125,252340.0,337920.0,393184.0,328606.4,334251.8375,244039.775,168960.0,225280.0,225280.0,225280.0,72949.53125,337920.0,393184.0,234542.7375,235871.0,240648.725,225280.0,225280.0,225280.0,225280.0,112640.0,168960.0,225280.0,225280.0,225280.0,119020.0,506880.0,225280.0,225280.0,225280.0,111540.0,619520.0,225280.0,225280.0,225280.0,107862.5
24576.0,4326.357933579336,,4166.623616236162,4332.837638376383,4393.295202952029,6087.321033210332,4326.357933579336,24576.0,24576.0,6087.321033210332,,24576.0,6038.228782287823,49152.0,49152.0,49152.0,49152.0,49152.0,24576.0,24576.0,24576.0,24576.0,12595.2,24576.0,24576.0,24576.0,24576.0,14400.0,24576.0,24576.0,24576.0,24576.0,14020.923076923076,24576.0,24576.0,24576.0,24576.0,7392.0,24576.0,24576.0,24576.0,24576.0,16320.846153846154,32768.0,24576.0,24576.0,24576.0,12288.0,24576.0,24576.0,24576.0,24576.0,12397.714285714286,73728.0,24576.0,24576.0,24576.0,12178.285714285714,32768.0,24576.0,24576.0,24576.0,11520.0
262144.0,262144.0,,262144.0,262144.0,262144.0,262144.0,262144.0,131072.0,262144.0,262144.0,,131072.0,262144.0,262144.0,262144.0,262144.0,262144.0,262144.0,262144.0,262144.0,261734.4,261734.4,234700.8,262144.0,212992.0,212992.0,212992.0,212992.0,262144.0,212992.0,212992.79487179487,212992.1794871795,212992.0,262144.0,212992.0,212993.59375,212992.0,212992.0,262144.0,212992.0,212995.3333333333,212994.8205128205,212992.66666666663,131072.0,212992.0,212992.0,212992.0,212992.0,262144.0,212992.0,212992.0,212992.0,212992.0,131072.0,212992.0,212992.0,212992.0,212992.0,262144.0,212992.0,212992.0,212993.22222222225,212992.0
819200.0,819200.0,,819200.0,819200.0,819200.0,819200.0,819200.0,1310720.0,1310720.0,819200.0,,1310720.0,819200.0,1310720.0,1925120.0,1925120.0,1310720.0,1310720.0,655360.0,962560.0,962560.0,962560.0,655360.0,1310720.0,966656.0,966656.0,966656.0,835584.0,1310720.0,962560.0,821009.25,880640.0,839680.0,1310720.0,950272.0,819200.0,819200.0,836822.0,1310720.0,962560.0,819200.0,819200.0,839680.0,1310720.0,983040.0,901120.0,901120.0,819200.0,1310720.0,983040.0,864363.5,864320.0,901120.0,1310720.0,983040.0,841963.5,843646.0,819200.0,3276800.0,901120.0,819200.0,819200.0,819200.0
21997.03703703704,22958.760147601475,,20656.59778597786,20696.88560885609,20690.166051660515,20700.254612546127,22958.760147601475,12288.0,12288.0,20700.254612546127,,12288.0,20712.029520295204,32768.0,49152.0,48947.2,34406.4,34406.4,24576.0,32768.0,32768.0,32563.2,18022.4,12288.0,36864.0,36736.0,36608.0,21696.0,12288.0,36864.0,35118.22265625,34588.5,22144.0,12288.0,36864.0,24740.34375,22023.25,20736.0,12288.0,36864.0,28405.31875,25328.0,25046.06875,16384.0,36864.0,36834.37575757576,36858.4,20480.0,32768.0,36864.0,36686.80606060606,36367.51515151515,21870.157575757577,32768.0,36864.0,36733.67272727273,36566.10909090909,20480.0,32768.0,36864.0,28607.321212121213,28072.02424242424,21732.27878787879
2097152.0,4194304.0,,4194304.0,4194304.0,4194304.0,4194304.0,4194304.0,4194304.0,4194304.0,4194304.0,,4194304.0,4194304.0,8388608.0,8388608.0,8388608.0,8388608.0,8388608.0,4194304.0,2097152.0,2097152.0,2097152.0,1048576.0,4194304.0,2097152.0,2097152.0,2097152.0,996147.2,4194304.0,2097152.0,2097152.0,2097152.0,1474560.0,4194304.0,2097152.0,2097152.0,2097152.0,579180.8,4194304.0,2097152.0,2097152.0,2097152.0,491520.0,2097152.0,2097152.0,2097152.0,2097152.0,1011126.8571428572,4194304.0,2097152.0,2097152.0,2097152.0,1142198.857142857,2097152.0,2097152.0,2097152.0,2097152.0,823881.1428571428,4194304.0,2097152.0,2097152.0,2097152.0,861330.2857142857
7168.0,8192.0,,8192.004784688996,8192.0,8192.003189792664,8192.0,8192.0,8192.0,0.0,8192.0,,8192.0,8192.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,524288.0,522297.659375,408780.8,524288.0,458752.0,458752.0,455709.625,282332.8,524288.0,458752.0,458752.0,403845.59375,279808.0,720000.0,630000.0,630000.0,362560.5,361941.46875,524288.0,458752.0,458752.0,273892.95,270594.275,524288.0,458752.0,458752.0,458031.806060606,262144.0,524288.0,458752.0,458752.0,450455.85454545455,288031.92727272725,786432.0,458752.0,458752.0,452851.85454545455,262144.0,1048576.0,458752.0,458752.0,315103.97575757577,263944.096969697
