Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,checked_num_kernel,waiting_time_nolap,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,163840,1,16,1024,1024,1024.0,288768,288768,288768.0,1024,288768,0.0035335689045936395,0.9964664310954063,867712,1859200,1901568.0,0.6418514694071561,9,291072,0.001180115061218469,0.3327924472636082,0.3339725623248267
latnrm.c,163840,4,1,1280,1280,1280.0,289792,289792,289792.0,1280,289792,0.0043975373790677225,0.9956024626209323,867712,1859200,1901568.0,0.6418514694071561,9,291072,0.001475143826523086,0.3339725623248267,0.3354477061513498
fft.c,163840,2,1,225280,225280,225280.0,262144,262144,262144.0,225280,262144,0.46218487394957986,0.5378151260504201,867712,1859200,1901568.0,0.6418514694071561,9,291072,0.2596253134680631,0.30210945567192804,0.5617347691399911
dtw.cpp,665360,1,16,6144,6144,6144.0,262144,262144,262144.0,6144,262144,0.022900763358778626,0.9770992366412213,867712,1859200,1901568.0,0.6418514694071561,9,291072,0.007080690367310813,0.30210945567192804,0.30919014603923883
spmv.c,665360,4,1,212992,212992,212992.0,262144,262144,262144.0,212992,262144,0.4482758620689655,0.5517241379310345,867712,1859200,1901568.0,0.6418514694071561,9,291072,0.2454639327334415,0.30210945567192804,0.5475733884053695
conv.c,3276800,4,1,867712,867712,867712.0,0,0,0.0,867712,0,1.0,0.0,867712,1859200,1901568.0,0.6418514694071561,9,291072,1.0,0.0,1.0
mvt.c,163840,4,1,20480,20480,20480.0,268288,268288,268288.0,20480,268288,0.07092198581560284,0.9290780141843972,867712,1859200,1901568.0,0.6418514694071561,9,291072,0.023602301224369376,0.30919014603923883,0.3327924472636082
gemm.c,3276800,1,16,262144,262144,262144.0,0,0,0.0,262144,0,1.0,0.0,867712,1859200,1901568.0,0.6418514694071561,9,291072,0.30210945567192804,0.0,0.30210945567192804
relu+histogram.c,163840,4,1,262144,262144,262144.0,268288,268288,268288.0,262144,268288,0.4942084942084942,0.5057915057915058,867712,1859200,1901568.0,0.6418514694071561,9,291072,0.30210945567192804,0.30919014603923883,0.6112996017111668
