Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,CGRA Utilization,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,12288,1,16,2048,2048,2048.0,2509312,40027648,21481472.314592935,6666240,69922192384,9.532888325610547e-05,0.9999046711167439,79958272,0.15252980055601012,0.08337148656739356,874.483535412071,874.5669068986383
latnrm.c,768,1,1,256,256,256.0,2503680,40029696,21480744.76201448,13333248,1118781629440,1.1917508073119795e-05,0.9999880824919268,79958272,0.15252980055601012,0.1667525781447603,13992.068630997928,13992.235383576073
fft.c,135168,1,16,39424,39424,39424.0,2503168,39926784,21336836.33898305,11630080,6294366720,0.0018442889155922185,0.9981557110844078,79958272,0.15252980055601012,0.1454518676941893,78.7206446882694,78.8660965559636
dtw.cpp,147456,1,16,57344,57344,57344.0,2424832,39941632,21355317.84501845,15540224,5787291136,0.0026780416379358647,0.9973219583620642,79958272,0.15252980055601012,0.19435417513775186,72.3788920300829,72.57324620522064
spmv.c,393216,1,16,65536,65536,65536.0,2359296,39636480,21162044.83168317,6619136,2137366528,0.003087304225556613,0.9969126957744434,79958272,0.15252980055601012,0.08278237928903716,26.731024502380443,26.81380688166948
conv.c,1572864,1,16,262144,262144,262144.0,2097152,38301696,20312678.4,6553600,507816960,0.01274100912773857,0.9872589908722614,79958272,0.15252980055601012,0.08196275177132392,6.351024694480641,6.432987446251965
mvt.c,147456,1,16,24576,24576,24576.0,2482176,39998976,21412661.84501845,6660096,5802831360,0.0011464163516621583,0.9988535836483379,79958272,0.15252980055601012,0.08329464648760794,72.57324620522064,72.65654085170826
gemm.c,12582912,1,16,2097152,2097152,2097152.0,0,25574912,12807680.0,6291456,38423040,0.14070282711002713,0.8592971728899729,79958272,0.15252980055601012,0.07868424170047096,0.48053864895929715,0.5592228906597682
relu+histogram.c,24576,1,16,4096,4096,4096.0,2505216,40023552,21472986.709280886,6664192,34936549376,0.00019071491484409084,0.9998092850851559,79958272,0.15252980055601012,0.08334587320746502,436.934772377272,437.01811825047946
