Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,checked_num_kernel,waiting_time_nolap,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,102400,1,4,2048,2048,2048.0,6023168,6023168,6023168.0,2048,6023168,0.0003399048266485384,0.9996600951733514,6027136,6027136,42702848.0,0.13752992546987491,1,6027136,0.00033979654681759295,0.999341644190541,0.9996814407373585
latnrm.c,102400,2,1,1920,1920,1920.0,6025216,6025216,6025216.0,1920,6025216,0.0003185592626414934,0.9996814407373585,6027136,6027136,42702848.0,0.13752992546987491,1,6027136,0.0003185592626414934,0.9996814407373585,1.0
fft.c,102400,1,1,337920,337920,337920.0,4849664,4849664,4849664.0,337920,4849664,0.06514015001973944,0.9348598499802606,6027136,6027136,42702848.0,0.13752992546987491,1,6027136,0.05606643022490284,0.8046382228640602,0.8607046530889629
dtw.cpp,327680,1,4,24576,24576,24576.0,5449728,5449728,5449728.0,24576,5449728,0.004489337822671156,0.9955106621773289,6027136,6027136,42702848.0,0.13752992546987491,1,6027136,0.004077558561811115,0.9041986110816149,0.908276169643426
spmv.c,327680,2,1,262144,262144,262144.0,5187584,5187584,5187584.0,262144,5187584,0.048102217211574594,0.9518977827884254,6027136,6027136,42702848.0,0.13752992546987491,1,6027136,0.0434939579926519,0.8607046530889629,0.9041986110816149
conv.c,1638400,2,1,655360,655360,655360.0,4194304,4194304,4194304.0,655360,4194304,0.13513513513513514,0.8648648648648649,6027136,6027136,42702848.0,0.13752992546987491,1,6027136,0.10873489498162975,0.6959033278824304,0.8046382228640602
mvt.c,163840,2,1,24576,24576,24576.0,5474304,5474304,5474304.0,24576,5474304,0.004469273743016759,0.9955307262569832,6027136,6027136,42702848.0,0.13752992546987491,1,6027136,0.004077558561811115,0.908276169643426,0.9123537282052371
gemm.c,1638400,1,4,4194304,4194304,4194304.0,0,0,0.0,4194304,0,1.0,0.0,6027136,6027136,42702848.0,0.13752992546987491,1,6027136,0.6959033278824304,0.0,0.6959033278824304
relu+histogram.c,81920,1,1,524288,524288,524288.0,5498880,5498880,5498880.0,524288,5498880,0.0870452227133628,0.9129547772866372,6027136,6027136,42702848.0,0.13752992546987491,1,6027136,0.0869879159853038,0.9123537282052371,0.999341644190541
