Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,checked_num_kernel,waiting_time_nolap,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,81920,1,1,4096,4096,4096.0,2560,24383488,12520985.6,1310720,4006715392,0.0003270238175534122,0.9996729761824465,51582976,452624384,110411812.8,0.986823008342046,104,50504192,0.025409933695954262,77.67514987890578,77.70055981260174
latnrm.c,81920,1,1,2560,2560,2560.0,0,24380928,12518473.6,819200,4005911552,0.00020445596440217203,0.9997955440355978,51582976,452624384,110411812.8,0.986823008342046,104,50504192,0.015881208559971414,77.65956644300631,77.67544765156629
fft.c,81920,1,1,450560,450560,450560.0,0,24332288,12417814.4,144179200,3973700608,0.035012969470331855,0.9649870305296682,51582976,452624384,110411812.8,0.986823008342046,104,50504192,2.7950927065549687,77.03511732242823,79.8302100289832
dtw.cpp,327680,1,1,49152,49152,49152.0,0,24323584,12415379.2,3932160,993230336,0.003943349269325107,0.9960566507306748,51582976,452624384,110411812.8,0.986823008342046,104,50504192,0.07622980108786279,19.25500258069639,19.331232381784254
spmv.c,327680,1,1,262144,262144,262144.0,0,24272896,12369824.0,20971520,989585920,0.020752427491899917,0.9792475725081001,51582976,452624384,110411812.8,0.986823008342046,104,50504192,0.4065589391352682,19.18435105411522,19.590909993250488
conv.c,1638400,1,1,1310720,1966080,1925120.0,0,23027200,11677184.0,30801920,186834944,0.14152896450483682,0.8584710354951631,51582976,452624384,110411812.8,0.986823008342046,104,50504192,0.5971334418549251,3.62202723627268,4.219160678127605
mvt.c,81920,1,1,49152,49152,49152.0,0,24372736,12483270.4,15728640,3994646528,0.003921987181025753,0.9960780128189742,51582976,452624384,110411812.8,0.986823008342046,104,50504192,0.30491920435145115,77.44117997379601,77.74609917814746
gemm.c,1638400,1,1,4194304,4194304,4194304.0,0,22812672,11484000.0,67108864,183744000,0.26752281369209324,0.7324771863079068,51582976,452624384,110411812.8,0.986823008342046,104,50504192,1.3009886052328583,3.5621054512248382,4.8630940564576965
relu+histogram.c,81920,1,1,524288,524288,524288.0,6656,24387584,12524881.6,167772160,4007962112,0.04017788227689216,0.9598221177231079,51582976,452624384,110411812.8,0.986823008342046,104,50504192,3.2524715130821455,77.699319093183,80.95179060626513
