Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,CGRA Utilization,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,12288,1,16,293,2048,771.356862745098,0,61440,2138.4117647058824,196696,545295,0.2650921641906708,0.7349078358093292,39849984,0.42214875674792907,0.004935911643026005,0.013683694327204749,0.018619605970230754
latnrm.c,7680,1,1,2560,2560,2560.0,0,63488,2884.644230769231,532480,600006,0.4701868279166365,0.5298131720833635,39849984,0.42214875674792907,0.013362113269606332,0.01505661834142769,0.02841873161103402
fft.c,1351680,1,16,28160,75094,39627.620689655174,0,0,0.0,1149201,0,1.0,0.0,39849984,0.42214875674792907,0.028838179709181313,0.0,0.028838179709181313
dtw.cpp,147456,1,16,3072,24576,4393.295202952029,0,75094,888.8782287822878,1190583,240886,0.8317211200521981,0.16827887994780188,39849984,0.42214875674792907,0.029876624291743755,0.006044820494783636,0.035921444786527396
spmv.c,393216,1,1,262144,262144,262144.0,0,45056,521.4158415841584,26476544,52663,0.9980149048556182,0.001985095144381813,39849984,0.42214875674792907,0.6644053859595025,0.001321531270878302,0.6657269172303808
conv.c,3932160,4,1,819200,819200,819200.0,0,0,0.0,8192000,0,1.0,0.0,39849984,0.42214875674792907,0.20557097337855895,0.0,0.20557097337855895
mvt.c,147456,4,1,20480,24122,20690.166051660515,0,83286,4560.461254612546,5607035,1235885,0.819392160072016,0.18060783992798396,39849984,0.42214875674792907,0.14070356966768166,0.031013437797114296,0.17171700746479598
gemm.c,12582912,1,1,4194304,4194304,4194304.0,0,0,0.0,12582912,0,1.0,0.0,39849984,0.42214875674792907,0.3157570151094665,0.0,0.3157570151094665
relu+histogram.c,24576,1,1,8192,8193,8192.003189792664,0,75094,1839.5693779904307,5136386,1153410,0.8166220335285914,0.1833779664714086,39849984,0.42214875674792907,0.1288930504965824,0.028943800830635216,0.1578368513272176
