Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,checked_num_kernel,waiting_time_nolap,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,163840,1,16,2048,2048,2048.0,36864,36864,36864.0,2048,36864,0.05263157894736842,0.9473684210526315,2097152,3878144,100352.0,0.2720947265625,9,40192,0.0009765625,0.017578125,0.0185546875
latnrm.c,163840,4,1,1280,1280,1280.0,38912,38912,38912.0,1280,38912,0.03184713375796178,0.9681528662420382,2097152,3878144,100352.0,0.2720947265625,9,40192,0.0006103515625,0.0185546875,0.0191650390625
fft.c,163840,2,1,225280,225280,225280.0,0,0,0.0,225280,0,1.0,0.0,2097152,3878144,100352.0,0.2720947265625,9,40192,0.107421875,0.0,0.107421875
dtw.cpp,665360,1,16,24576,24576,24576.0,0,0,0.0,24576,0,1.0,0.0,2097152,3878144,100352.0,0.2720947265625,9,40192,0.01171875,0.0,0.01171875
spmv.c,665360,4,1,212992,212992,212992.0,0,0,0.0,212992,0,1.0,0.0,2097152,3878144,100352.0,0.2720947265625,9,40192,0.1015625,0.0,0.1015625
conv.c,3276800,4,1,819200,819200,819200.0,0,0,0.0,819200,0,1.0,0.0,2097152,3878144,100352.0,0.2720947265625,9,40192,0.390625,0.0,0.390625
mvt.c,163840,4,1,36864,36864,36864.0,0,0,0.0,36864,0,1.0,0.0,2097152,3878144,100352.0,0.2720947265625,9,40192,0.017578125,0.0,0.017578125
gemm.c,3276800,1,16,2097152,2097152,2097152.0,0,0,0.0,2097152,0,1.0,0.0,2097152,3878144,100352.0,0.2720947265625,9,40192,1.0,0.0,1.0
relu+histogram.c,163840,4,1,458752,458752,458752.0,24576,24576,24576.0,458752,24576,0.9491525423728814,0.05084745762711865,2097152,3878144,100352.0,0.2720947265625,9,40192,0.21875,0.01171875,0.23046875
