Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,checked_num_kernel,waiting_time_nolap,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,102400,1,4,2048,2048,2048.0,24576,24576,24576.0,2048,24576,0.07692307692307693,0.9230769230769231,2097152,3825536,51200.0,0.24934217664930555,9,28544,0.0009765625,0.01171875,0.0126953125
latnrm.c,102400,2,1,1920,1920,1920.0,26624,26624,26624.0,1920,26624,0.06726457399103139,0.9327354260089686,2097152,3825536,51200.0,0.24934217664930555,9,28544,0.00091552734375,0.0126953125,0.01361083984375
fft.c,102400,2,1,225280,225280,225280.0,0,0,0.0,225280,0,1.0,0.0,2097152,3825536,51200.0,0.24934217664930555,9,28544,0.107421875,0.0,0.107421875
dtw.cpp,327680,1,4,24576,24576,24576.0,0,0,0.0,24576,0,1.0,0.0,2097152,3825536,51200.0,0.24934217664930555,9,28544,0.01171875,0.0,0.01171875
spmv.c,327680,2,1,262144,262144,262144.0,0,0,0.0,262144,0,1.0,0.0,2097152,3825536,51200.0,0.24934217664930555,9,28544,0.125,0.0,0.125
conv.c,1638400,2,1,655360,655360,655360.0,0,0,0.0,655360,0,1.0,0.0,2097152,3825536,51200.0,0.24934217664930555,9,28544,0.3125,0.0,0.3125
mvt.c,163840,2,1,32768,32768,32768.0,0,0,0.0,32768,0,1.0,0.0,2097152,3825536,51200.0,0.24934217664930555,9,28544,0.015625,0.0,0.015625
gemm.c,1638400,1,4,2097152,2097152,2097152.0,0,0,0.0,2097152,0,1.0,0.0,2097152,3825536,51200.0,0.24934217664930555,9,28544,1.0,0.0,1.0
relu+histogram.c,81920,2,1,524288,524288,524288.0,0,0,0.0,524288,0,1.0,0.0,2097152,3825536,51200.0,0.24934217664930555,9,28544,0.25,0.0,0.25
