Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,CGRA Utilization,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,20480,1,16,2048,2048,2048.0,3233280,5972992,4675453.448058762,1951744,4455707136,0.000437840591337487,0.9995621594086626,39936000,0.14752318295574945,0.04887179487179487,111.57119230769231,111.6200641025641
latnrm.c,12800,1,1,2560,2560,2560.0,5506048,5975040,5719302.144,320000,714912768,0.0004474067944269578,0.999552593205573,39936000,0.14752318295574945,0.008012820512820512,17.90146153846154,17.909474358974357
fft.c,2252800,1,16,168960,168960,168960.0,825856,5505024,3658932.705882353,2872320,62201856,0.04413916820091583,0.9558608317990842,39936000,0.14752318295574945,0.07192307692307692,1.5575384615384615,1.6294615384615385
dtw.cpp,245760,1,16,24576,24576,24576.0,0,5936128,3405716.5432098764,3981312,551726080,0.00716440352839503,0.992835596471605,39936000,0.14752318295574945,0.09969230769230769,13.81525641025641,13.914948717948718
spmv.c,655360,1,1,262144,262144,262144.0,0,5673984,3337795.1475409837,15990784,203605504,0.0728190086710391,0.9271809913289609,39936000,0.14752318295574945,0.4004102564102564,5.098294871794872,5.4987051282051285
conv.c,6553600,4,1,1310720,1310720,1310720.0,833024,4194304,2948010.6666666665,7864320,17688064,0.3077724567695914,0.6922275432304086,39936000,0.14752318295574945,0.19692307692307692,0.4429102564102564,0.6398333333333334
mvt.c,245760,4,1,12288,12288,12288.0,24576,5960704,3430292.5432098764,1990656,555707392,0.0035694153980614257,0.9964305846019386,39936000,0.14752318295574945,0.049846153846153846,13.914948717948718,13.964794871794872
gemm.c,20971520,1,16,4194304,4194304,4194304.0,0,0,0.0,4194304,0,1.0,0.0,39936000,0.14752318295574945,0.10502564102564102,0.0,0.10502564102564102
relu+histogram.c,40960,4,1,0,0,0.0,0,5972992,3389423.7377049183,0,3308077568,0.0,1.0,39936000,0.14752318295574945,0.0,82.83447435897436,82.83447435897436
