Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,checked_num_kernel,waiting_time_nolap,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,327680,1,16,2048,2048,2048.0,24576,24576,24576.0,2048,24576,0.07692307692307693,0.9230769230769231,2097152,3665152,71680.0,0.2638481987847222,9,27904,0.0009765625,0.01171875,0.0126953125
latnrm.c,327680,4,1,1280,1280,1280.0,26624,26624,26624.0,1280,26624,0.045871559633027525,0.9541284403669725,2097152,3665152,71680.0,0.2638481987847222,9,27904,0.0006103515625,0.0126953125,0.0133056640625
fft.c,327680,1,16,225280,225280,225280.0,0,0,0.0,225280,0,1.0,0.0,2097152,3665152,71680.0,0.2638481987847222,9,27904,0.107421875,0.0,0.107421875
dtw.cpp,819200,1,16,24576,24576,24576.0,0,0,0.0,24576,0,1.0,0.0,2097152,3665152,71680.0,0.2638481987847222,9,27904,0.01171875,0.0,0.01171875
spmv.c,819200,4,1,212992,212992,212992.0,0,0,0.0,212992,0,1.0,0.0,2097152,3665152,71680.0,0.2638481987847222,9,27904,0.1015625,0.0,0.1015625
conv.c,6553600,4,1,819200,819200,819200.0,0,0,0.0,819200,0,1.0,0.0,2097152,3665152,71680.0,0.2638481987847222,9,27904,0.390625,0.0,0.390625
mvt.c,204800,4,1,20480,20480,20480.0,0,0,0.0,20480,0,1.0,0.0,2097152,3665152,71680.0,0.2638481987847222,9,27904,0.009765625,0.0,0.009765625
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,0,0.0,2097152,0,1.0,0.0,2097152,3665152,71680.0,0.2638481987847222,9,27904,1.0,0.0,1.0
relu+histogram.c,204800,4,1,262144,262144,262144.0,20480,20480,20480.0,262144,20480,0.927536231884058,0.07246376811594203,2097152,3665152,71680.0,0.2638481987847222,9,27904,0.125,0.009765625,0.134765625
