Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,checked_num_kernel,waiting_time_nolap,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,327680,1,16,2048,2048,2048.0,6497280,6497280,6497280.0,2048,6497280,0.00031510950055144165,0.9996848904994485,6500608,6500608,46239744.0,0.1271846668294412,1,6500608,0.0003150474540227622,0.999488047887213,0.9998030953412358
latnrm.c,327680,4,1,1280,1280,1280.0,6499328,6499328,6499328.0,1280,6499328,0.00019690465876422635,0.9998030953412358,6500608,6500608,46239744.0,0.1271846668294412,1,6500608,0.00019690465876422635,0.9998030953412358,1.0
fft.c,327680,1,16,168960,168960,168960.0,5505024,5505024,5505024.0,168960,5505024,0.02977801840822956,0.9702219815917704,6500608,6500608,46239744.0,0.1271846668294412,1,6500608,0.02599141495687788,0.8468475564131848,0.8728389713700626
dtw.cpp,819200,1,16,24576,24576,24576.0,5936128,5936128,5936128.0,24576,5936128,0.004123002920460402,0.9958769970795396,6500608,6500608,46239744.0,0.1271846668294412,1,6500608,0.003780569448273146,0.9131650454849761,0.9169456149332493
spmv.c,819200,2,1,262144,262144,262144.0,5673984,5673984,5673984.0,262144,5673984,0.044160772813524235,0.9558392271864757,6500608,6500608,46239744.0,0.1271846668294412,1,6500608,0.04032607411491356,0.8728389713700626,0.9131650454849761
conv.c,6553600,4,1,1310720,1310720,1310720.0,4194304,4194304,4194304.0,1310720,4194304,0.23809523809523808,0.7619047619047619,6500608,6500608,46239744.0,0.1271846668294412,1,6500608,0.20163037057456779,0.645217185838617,0.8468475564131848
mvt.c,204800,4,1,12288,12288,12288.0,5960704,5960704,5960704.0,12288,5960704,0.00205726041488085,0.9979427395851191,6500608,6500608,46239744.0,0.1271846668294412,1,6500608,0.001890284724136573,0.9169456149332493,0.9188358996573859
gemm.c,5242880,1,16,4194304,4194304,4194304.0,0,0,0.0,4194304,0,1.0,0.0,6500608,6500608,46239744.0,0.1271846668294412,1,6500608,0.645217185838617,0.0,0.645217185838617
relu+histogram.c,204800,1,1,524288,524288,524288.0,5972992,5972992,5972992.0,524288,5972992,0.08069345941686368,0.9193065405831363,6500608,6500608,46239744.0,0.1271846668294412,1,6500608,0.08065214822982712,0.9188358996573859,0.999488047887213
