Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,327680,1,16,2048,2048,2048.0,20480,9181696,5158802.285714285,43008,108334848,0.0003968338329187837,0.9996031661670812,16417495,859670222,43232605.9976912,0.9912967978502337,0.002619644470730766,6.598744083674154,6.601363728144884
latnrm.c,327680,4,1,1280,1280,1280.0,22528,9183744,5160789.333333333,26880,108376576,0.0002479625741821368,0.9997520374258179,16417495,859670222,43232605.9976912,0.9912967978502337,0.001637277794206729,6.601285762535636,6.602923040329843
fft.c,327680,1,16,225280,225280,225280.0,0,9276416,4670294.0,28835840,597797632,0.04601707583217004,0.9539829241678299,16417495,859670222,43232605.9976912,0.9912967978502337,1.7564092451375803,36.41223170769962,38.1686409528372
dtw.cpp,819200,1,16,24576,24576,24576.0,0,9280768,4603200.0,1376256,257779200,0.005310542256150686,0.9946894577438493,16417495,859670222,43232605.9976912,0.9912967978502337,0.08382862306338451,15.70149404644253,15.785322669505915
spmv.c,819200,4,1,212992,212992,212992.0,0,8981760,4976924.444444444,1916928,44792320,0.041039581711955625,0.9589604182880443,16417495,859670222,43232605.9976912,0.9912967978502337,0.11676129640971415,2.728328530022394,2.845089826432108
conv.c,6553600,4,1,819200,909527,864363.5,0,8954368,4477184.0,1728727,8954368,0.16181892981387885,0.8381810701861212,16417495,859670222,43232605.9976912,0.9912967978502337,0.10529785451434583,0.5454162160548853,0.6507140705692311
mvt.c,204800,4,1,20480,36864,36686.80606060606,0,9493760,5379284.557575758,6053323,887581952,0.006773818323140836,0.9932261816768592,16417495,859670222,43232605.9976912,0.9912967978502337,0.3687117309918474,54.06317784777763,54.43188957876948
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,6902784,3552402.285714286,29360128,49733632,0.37120662868979803,0.628793371310202,16417495,859670222,43232605.9976912,0.9912967978502337,1.7883439586855363,3.0293069679631395,4.817650926648676
relu+histogram.c,204800,4,1,458752,458752,458752.0,20480,9355264,5253725.090909091,75694080,866864640,0.08030701790122954,0.9196929820987705,16417495,859670222,43232605.9976912,0.9912967978502337,4.610574268486149,52.80127327585603,57.41184754434218
fft.c,327680,1,16,225280,225280,225280.0,0,9276416,4670294.0,28835840,597797632,0.04601707583217004,0.9539829241678299,16417495,859670222,43232605.9976912,0.9912967978502337,1.7564092451375803,36.41223170769962,38.1686409528372
dtw.cpp,819200,1,16,24576,24576,24576.0,0,9280768,4603200.0,1376256,257779200,0.005310542256150686,0.9946894577438493,16417495,859670222,43232605.9976912,0.9912967978502337,0.08382862306338451,15.70149404644253,15.785322669505915
fft.c,327680,1,16,225280,225280,225280.0,0,9276416,4670294.0,28835840,597797632,0.04601707583217004,0.9539829241678299,16417495,859670222,43232605.9976912,0.9912967978502337,1.7564092451375803,36.41223170769962,38.1686409528372
dtw.cpp,819200,1,16,24576,24576,24576.0,0,9280768,4603200.0,1376256,257779200,0.005310542256150686,0.9946894577438493,16417495,859670222,43232605.9976912,0.9912967978502337,0.08382862306338451,15.70149404644253,15.785322669505915
fft.c,327680,1,16,225280,225280,225280.0,0,9276416,4670294.0,28835840,597797632,0.04601707583217004,0.9539829241678299,16417495,859670222,43232605.9976912,0.9912967978502337,1.7564092451375803,36.41223170769962,38.1686409528372
dtw.cpp,819200,1,16,24576,24576,24576.0,0,9280768,4603200.0,1376256,257779200,0.005310542256150686,0.9946894577438493,16417495,859670222,43232605.9976912,0.9912967978502337,0.08382862306338451,15.70149404644253,15.785322669505915
fft.c,327680,1,16,225280,225280,225280.0,0,9276416,4670294.0,28835840,597797632,0.04601707583217004,0.9539829241678299,16417495,859670222,43232605.9976912,0.9912967978502337,1.7564092451375803,36.41223170769962,38.1686409528372
dtw.cpp,819200,1,16,24576,24576,24576.0,0,9280768,4603200.0,1376256,257779200,0.005310542256150686,0.9946894577438493,16417495,859670222,43232605.9976912,0.9912967978502337,0.08382862306338451,15.70149404644253,15.785322669505915
fft.c,327680,1,16,225280,225280,225280.0,0,9276416,4670294.0,28835840,597797632,0.04601707583217004,0.9539829241678299,16417495,859670222,43232605.9976912,0.9912967978502337,1.7564092451375803,36.41223170769962,38.1686409528372
dtw.cpp,819200,1,16,24576,24576,24576.0,0,9280768,4603200.0,1376256,257779200,0.005310542256150686,0.9946894577438493,16417495,859670222,43232605.9976912,0.9912967978502337,0.08382862306338451,15.70149404644253,15.785322669505915
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,6902784,3552402.285714286,29360128,49733632,0.37120662868979803,0.628793371310202,16417495,859670222,43232605.9976912,0.9912967978502337,1.7883439586855363,3.0293069679631395,4.817650926648676
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,6902784,3552402.285714286,29360128,49733632,0.37120662868979803,0.628793371310202,16417495,859670222,43232605.9976912,0.9912967978502337,1.7883439586855363,3.0293069679631395,4.817650926648676
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,6902784,3552402.285714286,29360128,49733632,0.37120662868979803,0.628793371310202,16417495,859670222,43232605.9976912,0.9912967978502337,1.7883439586855363,3.0293069679631395,4.817650926648676
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,6902784,3552402.285714286,29360128,49733632,0.37120662868979803,0.628793371310202,16417495,859670222,43232605.9976912,0.9912967978502337,1.7883439586855363,3.0293069679631395,4.817650926648676
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,6902784,3552402.285714286,29360128,49733632,0.37120662868979803,0.628793371310202,16417495,859670222,43232605.9976912,0.9912967978502337,1.7883439586855363,3.0293069679631395,4.817650926648676
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,6902784,3552402.285714286,29360128,49733632,0.37120662868979803,0.628793371310202,16417495,859670222,43232605.9976912,0.9912967978502337,1.7883439586855363,3.0293069679631395,4.817650926648676
fft.c,327680,1,16,225280,225280,225280.0,0,9276416,4670294.0,28835840,597797632,0.04601707583217004,0.9539829241678299,16417495,859670222,43232605.9976912,0.9912967978502337,1.7564092451375803,36.41223170769962,38.1686409528372
dtw.cpp,819200,1,16,24576,24576,24576.0,0,9280768,4603200.0,1376256,257779200,0.005310542256150686,0.9946894577438493,16417495,859670222,43232605.9976912,0.9912967978502337,0.08382862306338451,15.70149404644253,15.785322669505915
fft.c,327680,1,16,225280,225280,225280.0,0,9276416,4670294.0,28835840,597797632,0.04601707583217004,0.9539829241678299,16417495,859670222,43232605.9976912,0.9912967978502337,1.7564092451375803,36.41223170769962,38.1686409528372
dtw.cpp,819200,1,16,24576,24576,24576.0,0,9280768,4603200.0,1376256,257779200,0.005310542256150686,0.9946894577438493,16417495,859670222,43232605.9976912,0.9912967978502337,0.08382862306338451,15.70149404644253,15.785322669505915
relu+histogram.c,204800,4,1,458752,458752,458752.0,20480,9355264,5253725.090909091,75694080,866864640,0.08030701790122954,0.9196929820987705,16417495,859670222,43232605.9976912,0.9912967978502337,4.610574268486149,52.80127327585603,57.41184754434218
relu+histogram.c,204800,4,1,458752,458752,458752.0,20480,9355264,5253725.090909091,75694080,866864640,0.08030701790122954,0.9196929820987705,16417495,859670222,43232605.9976912,0.9912967978502337,4.610574268486149,52.80127327585603,57.41184754434218
relu+histogram.c,204800,4,1,458752,458752,458752.0,20480,9355264,5253725.090909091,75694080,866864640,0.08030701790122954,0.9196929820987705,16417495,859670222,43232605.9976912,0.9912967978502337,4.610574268486149,52.80127327585603,57.41184754434218
relu+histogram.c,204800,4,1,458752,458752,458752.0,20480,9355264,5253725.090909091,75694080,866864640,0.08030701790122954,0.9196929820987705,16417495,859670222,43232605.9976912,0.9912967978502337,4.610574268486149,52.80127327585603,57.41184754434218
mvt.c,204800,4,1,20480,36864,36686.80606060606,0,9493760,5379284.557575758,6053323,887581952,0.006773818323140836,0.9932261816768592,16417495,859670222,43232605.9976912,0.9912967978502337,0.3687117309918474,54.06317784777763,54.43188957876948
mvt.c,204800,4,1,20480,36864,36686.80606060606,0,9493760,5379284.557575758,6053323,887581952,0.006773818323140836,0.9932261816768592,16417495,859670222,43232605.9976912,0.9912967978502337,0.3687117309918474,54.06317784777763,54.43188957876948
mvt.c,204800,4,1,20480,36864,36686.80606060606,0,9493760,5379284.557575758,6053323,887581952,0.006773818323140836,0.9932261816768592,16417495,859670222,43232605.9976912,0.9912967978502337,0.3687117309918474,54.06317784777763,54.43188957876948
mvt.c,204800,4,1,20480,36864,36686.80606060606,0,9493760,5379284.557575758,6053323,887581952,0.006773818323140836,0.9932261816768592,16417495,859670222,43232605.9976912,0.9912967978502337,0.3687117309918474,54.06317784777763,54.43188957876948
