Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,327680,1,16,2048,2048,2048.0,0,2198016,1314803.8095238095,43008,27610880,0.0015552243503698287,0.9984447756496302,9542615,859664087,10982920.952958154,0.9604942539335392,0.004506940707552385,2.89342910722061,2.8979360479281624
latnrm.c,327680,4,1,1280,1280,1280.0,0,2200064,1316559.238095238,26880,27647744,0.0009712869089025383,0.9990287130910974,9542615,859664087,10982920.952958154,0.9604942539335392,0.0028168379422202406,2.897292199255655,2.900109037197875
fft.c,327680,1,16,225280,225280,225280.0,0,2263552,1269438.0,28835840,162488064,0.1507173928460084,0.8492826071539916,9542615,859664087,10982920.952958154,0.9604942539335392,3.0217964363017895,17.027624398553225,20.049420834855017
dtw.cpp,819200,1,16,24576,24576,24576.0,0,2299904,1275629.7142857143,1376256,71435264,0.018901624358343295,0.9810983756416567,9542615,859664087,10982920.952958154,0.9604942539335392,0.14422210264167631,7.485921207132426,7.630143309774103
spmv.c,819200,4,1,212992,212992,212992.0,0,2125056,1247800.888888889,1916928,11230208,0.14580574811122363,0.8541942518887764,9542615,859664087,10982920.952958154,0.9604942539335392,0.20088078582233487,1.1768480652315954,1.3777288510539303
conv.c,6553600,4,1,819200,864727,841963.5,0,2124288,1062144.0,1683927,2124288,0.44218275491273473,0.5578172450872653,9542615,859664087,10982920.952958154,0.9604942539335392,0.17646389380688626,0.22261067851946242,0.3990745723263487
mvt.c,204800,4,1,20480,36864,36733.67272727273,0,2386432,1404406.690909091,6061056,231727104,0.02548930947613203,0.974510690523868,9542615,859664087,10982920.952958154,0.9604942539335392,0.6351567154286325,24.283396532292247,24.918553247720883
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,1542144,745325.7142857143,29360128,10434560,0.7377901291750296,0.2622098708249704,9542615,859664087,10982920.952958154,0.9604942539335392,3.076738189689095,1.0934696621418762,4.170207851830971
relu+histogram.c,204800,4,1,458752,458752,458752.0,0,2328576,1346812.896969697,75694080,222224128,0.2540767162509248,0.7459232837490751,9542615,859664087,10982920.952958154,0.9604942539335392,7.932215645292197,23.28755042511932,31.219766070411517
fft.c,327680,1,16,225280,225280,225280.0,0,2263552,1269438.0,28835840,162488064,0.1507173928460084,0.8492826071539916,9542615,859664087,10982920.952958154,0.9604942539335392,3.0217964363017895,17.027624398553225,20.049420834855017
