Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,327680,1,16,2048,2048,2048.0,0,2198784,1314194.2857142857,43008,27598080,0.0015559445416909784,0.998444055458309,9549308,854661592,11001433.133621935,0.96190226558825,0.0045037818447158685,2.890060724819013,2.894564506663729
latnrm.c,327680,4,1,1280,1280,1280.0,0,2200832,1316047.238095238,26880,27636992,0.0009716644148729433,0.999028335585127,9549308,854661592,11001433.133621935,0.96190226558825,0.002814863652947418,2.89413557505947,2.896950438712418
fft.c,327680,1,16,225280,225280,225280.0,0,2268416,1268912.0,28835840,162420736,0.15077044984847998,0.84922955015152,9549308,854661592,11001433.133621935,0.96190226558825,3.019678493980925,17.00863936947054,20.028317863451466
dtw.cpp,819200,1,16,24576,24576,24576.0,0,2306560,1271451.4285714286,1376256,71201280,0.018962561638907114,0.9810374383610929,9549308,854661592,11001433.133621935,0.96190226558825,0.1441210190309078,7.456171693278717,7.600292712309625
spmv.c,819200,4,1,212992,212992,212992.0,0,2129152,1248625.7777777778,1916928,11237632,0.14572346015374135,0.8542765398462586,9549308,854661592,11001433.133621935,0.96190226558825,0.20073999079305013,1.1768006645088838,1.3775406553019338
conv.c,6553600,4,1,819200,868092,843646.0,0,2127616,1063808.0,1687292,2127616,0.44228904078420767,0.5577109592157924,9549308,854661592,11001433.133621935,0.96190226558825,0.17669259385077957,0.22280316018710467,0.39949575403788423
mvt.c,204800,4,1,20480,36864,36566.10909090909,0,2390528,1406017.1636363636,6033408,231992832,0.02534765914884006,0.9746523408511599,9549308,854661592,11001433.133621935,0.96190226558825,0.6318162530729975,24.294203517155378,24.926019770228375
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,1546752,762953.1428571428,29360128,10681344,0.7332429736848836,0.2667570263151165,9549308,854661592,11001433.133621935,0.96190226558825,3.0745817393260326,1.1185463910055053,4.193128130331538
relu+histogram.c,204800,4,1,262144,458752,452851.85454545455,0,2333184,1349424.096969697,74720556,222654976,0.2512666576751177,0.7487333423248823,9549308,854661592,11001433.133621935,0.96190226558825,7.824708973676417,23.316346692346713,31.141055666023128
fft.c,327680,1,16,225280,225280,225280.0,0,2268416,1268912.0,28835840,162420736,0.15077044984847998,0.84922955015152,9549308,854661592,11001433.133621935,0.96190226558825,3.019678493980925,17.00863936947054,20.028317863451466
dtw.cpp,819200,1,16,24576,24576,24576.0,0,2306560,1271451.4285714286,1376256,71201280,0.018962561638907114,0.9810374383610929,9549308,854661592,11001433.133621935,0.96190226558825,0.1441210190309078,7.456171693278717,7.600292712309625
fft.c,327680,1,16,225280,225280,225280.0,0,2268416,1268912.0,28835840,162420736,0.15077044984847998,0.84922955015152,9549308,854661592,11001433.133621935,0.96190226558825,3.019678493980925,17.00863936947054,20.028317863451466
dtw.cpp,819200,1,16,24576,24576,24576.0,0,2306560,1271451.4285714286,1376256,71201280,0.018962561638907114,0.9810374383610929,9549308,854661592,11001433.133621935,0.96190226558825,0.1441210190309078,7.456171693278717,7.600292712309625
fft.c,327680,1,16,225280,225280,225280.0,0,2268416,1268912.0,28835840,162420736,0.15077044984847998,0.84922955015152,9549308,854661592,11001433.133621935,0.96190226558825,3.019678493980925,17.00863936947054,20.028317863451466
dtw.cpp,819200,1,16,24576,24576,24576.0,0,2306560,1271451.4285714286,1376256,71201280,0.018962561638907114,0.9810374383610929,9549308,854661592,11001433.133621935,0.96190226558825,0.1441210190309078,7.456171693278717,7.600292712309625
fft.c,327680,1,16,225280,225280,225280.0,0,2268416,1268912.0,28835840,162420736,0.15077044984847998,0.84922955015152,9549308,854661592,11001433.133621935,0.96190226558825,3.019678493980925,17.00863936947054,20.028317863451466
dtw.cpp,819200,1,16,24576,24576,24576.0,0,2306560,1271451.4285714286,1376256,71201280,0.018962561638907114,0.9810374383610929,9549308,854661592,11001433.133621935,0.96190226558825,0.1441210190309078,7.456171693278717,7.600292712309625
fft.c,327680,1,16,225280,225280,225280.0,0,2268416,1268912.0,28835840,162420736,0.15077044984847998,0.84922955015152,9549308,854661592,11001433.133621935,0.96190226558825,3.019678493980925,17.00863936947054,20.028317863451466
dtw.cpp,819200,1,16,24576,24576,24576.0,0,2306560,1271451.4285714286,1376256,71201280,0.018962561638907114,0.9810374383610929,9549308,854661592,11001433.133621935,0.96190226558825,0.1441210190309078,7.456171693278717,7.600292712309625
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,1546752,762953.1428571428,29360128,10681344,0.7332429736848836,0.2667570263151165,9549308,854661592,11001433.133621935,0.96190226558825,3.0745817393260326,1.1185463910055053,4.193128130331538
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,1546752,762953.1428571428,29360128,10681344,0.7332429736848836,0.2667570263151165,9549308,854661592,11001433.133621935,0.96190226558825,3.0745817393260326,1.1185463910055053,4.193128130331538
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,1546752,762953.1428571428,29360128,10681344,0.7332429736848836,0.2667570263151165,9549308,854661592,11001433.133621935,0.96190226558825,3.0745817393260326,1.1185463910055053,4.193128130331538
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,1546752,762953.1428571428,29360128,10681344,0.7332429736848836,0.2667570263151165,9549308,854661592,11001433.133621935,0.96190226558825,3.0745817393260326,1.1185463910055053,4.193128130331538
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,1546752,762953.1428571428,29360128,10681344,0.7332429736848836,0.2667570263151165,9549308,854661592,11001433.133621935,0.96190226558825,3.0745817393260326,1.1185463910055053,4.193128130331538
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,1546752,762953.1428571428,29360128,10681344,0.7332429736848836,0.2667570263151165,9549308,854661592,11001433.133621935,0.96190226558825,3.0745817393260326,1.1185463910055053,4.193128130331538
fft.c,327680,1,16,225280,225280,225280.0,0,2268416,1268912.0,28835840,162420736,0.15077044984847998,0.84922955015152,9549308,854661592,11001433.133621935,0.96190226558825,3.019678493980925,17.00863936947054,20.028317863451466
dtw.cpp,819200,1,16,24576,24576,24576.0,0,2306560,1271451.4285714286,1376256,71201280,0.018962561638907114,0.9810374383610929,9549308,854661592,11001433.133621935,0.96190226558825,0.1441210190309078,7.456171693278717,7.600292712309625
fft.c,327680,1,16,225280,225280,225280.0,0,2268416,1268912.0,28835840,162420736,0.15077044984847998,0.84922955015152,9549308,854661592,11001433.133621935,0.96190226558825,3.019678493980925,17.00863936947054,20.028317863451466
dtw.cpp,819200,1,16,24576,24576,24576.0,0,2306560,1271451.4285714286,1376256,71201280,0.018962561638907114,0.9810374383610929,9549308,854661592,11001433.133621935,0.96190226558825,0.1441210190309078,7.456171693278717,7.600292712309625
relu+histogram.c,204800,4,1,262144,458752,452851.85454545455,0,2333184,1349424.096969697,74720556,222654976,0.2512666576751177,0.7487333423248823,9549308,854661592,11001433.133621935,0.96190226558825,7.824708973676417,23.316346692346713,31.141055666023128
relu+histogram.c,204800,4,1,262144,458752,452851.85454545455,0,2333184,1349424.096969697,74720556,222654976,0.2512666576751177,0.7487333423248823,9549308,854661592,11001433.133621935,0.96190226558825,7.824708973676417,23.316346692346713,31.141055666023128
relu+histogram.c,204800,4,1,262144,458752,452851.85454545455,0,2333184,1349424.096969697,74720556,222654976,0.2512666576751177,0.7487333423248823,9549308,854661592,11001433.133621935,0.96190226558825,7.824708973676417,23.316346692346713,31.141055666023128
relu+histogram.c,204800,4,1,262144,458752,452851.85454545455,0,2333184,1349424.096969697,74720556,222654976,0.2512666576751177,0.7487333423248823,9549308,854661592,11001433.133621935,0.96190226558825,7.824708973676417,23.316346692346713,31.141055666023128
mvt.c,204800,4,1,20480,36864,36566.10909090909,0,2390528,1406017.1636363636,6033408,231992832,0.02534765914884006,0.9746523408511599,9549308,854661592,11001433.133621935,0.96190226558825,0.6318162530729975,24.294203517155378,24.926019770228375
mvt.c,204800,4,1,20480,36864,36566.10909090909,0,2390528,1406017.1636363636,6033408,231992832,0.02534765914884006,0.9746523408511599,9549308,854661592,11001433.133621935,0.96190226558825,0.6318162530729975,24.294203517155378,24.926019770228375
mvt.c,204800,4,1,20480,36864,36566.10909090909,0,2390528,1406017.1636363636,6033408,231992832,0.02534765914884006,0.9746523408511599,9549308,854661592,11001433.133621935,0.96190226558825,0.6318162530729975,24.294203517155378,24.926019770228375
mvt.c,204800,4,1,20480,36864,36566.10909090909,0,2390528,1406017.1636363636,6033408,231992832,0.02534765914884006,0.9746523408511599,9549308,854661592,11001433.133621935,0.96190226558825,0.6318162530729975,24.294203517155378,24.926019770228375
