Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,checked_num_kernel,waiting_time_nolap,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,102400,1,4,1024,1024,1024.0,225280,225280,225280.0,1024,225280,0.004524886877828055,0.995475113122172,1048576,2654816,533504.0,0.5384453667534722,9,228224,0.0009765625,0.21484375,0.2158203125
latnrm.c,102400,2,1,1920,1920,1920.0,226304,226304,226304.0,1920,226304,0.008412787436904094,0.9915872125630959,1048576,2654816,533504.0,0.5384453667534722,9,228224,0.0018310546875,0.2158203125,0.2176513671875
fft.c,102400,2,1,225280,225280,225280.0,0,0,0.0,225280,0,1.0,0.0,1048576,2654816,533504.0,0.5384453667534722,9,228224,0.21484375,0.0,0.21484375
dtw.cpp,327680,1,4,24576,24576,24576.0,0,0,0.0,24576,0,1.0,0.0,1048576,2654816,533504.0,0.5384453667534722,9,228224,0.0234375,0.0,0.0234375
spmv.c,327680,2,1,229376,229376,229376.0,0,0,0.0,229376,0,1.0,0.0,1048576,2654816,533504.0,0.5384453667534722,9,228224,0.21875,0.0,0.21875
conv.c,1638400,2,1,655360,655360,655360.0,0,0,0.0,655360,0,1.0,0.0,1048576,2654816,533504.0,0.5384453667534722,9,228224,0.625,0.0,0.625
mvt.c,163840,2,1,32768,32768,32768.0,24576,24576,24576.0,32768,24576,0.5714285714285714,0.42857142857142855,1048576,2654816,533504.0,0.5384453667534722,9,228224,0.03125,0.0234375,0.0546875
gemm.c,1638400,1,4,1048576,1048576,1048576.0,0,0,0.0,1048576,0,1.0,0.0,1048576,2654816,533504.0,0.5384453667534722,9,228224,1.0,0.0,1.0
relu+histogram.c,81920,2,1,435936,435936,435936.0,57344,57344,57344.0,435936,57344,0.8837495945507623,0.11625040544923776,1048576,2654816,533504.0,0.5384453667534722,9,228224,0.415740966796875,0.0546875,0.470428466796875
