Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,CGRA Utilization,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,12288,1,16,512,2048,849.2470588235294,0,73728,3236.643137254902,216558,825344,0.2078487228165413,0.7921512771834587,39849984,0.44143661262765155,0.00543433091466235,0.020711275567889813,0.026145606482552163
latnrm.c,7680,1,1,2560,2560,2560.0,0,75776,3920.846153846154,532480,815536,0.3950101482474985,0.6049898517525014,39849984,0.44143661262765155,0.013362113269606332,0.020465152507965875,0.03382726577757221
fft.c,1351680,1,16,28160,84480,52854.06896551724,0,0,0.0,1532768,0,1.0,0.0,39849984,0.44143661262765155,0.038463453335389045,0.0,0.038463453335389045
dtw.cpp,147456,1,16,3072,24576,6038.2287822878225,0,84480,1587.0110701107012,1636360,430080,0.7918739474652059,0.20812605253479413,39849984,0.44143661262765155,0.04106300268527084,0.010792476102374344,0.05185547878764518
spmv.c,393216,1,1,262144,262144,262144.0,0,56320,1094.970297029703,26476544,110592,0.9958403943922354,0.004159605607764597,39849984,0.44143661262765155,0.6644053859595025,0.0027752081406105457,0.6671805941001131
conv.c,3932160,4,1,819200,819200,819200.0,0,0,0.0,8192000,0,1.0,0.0,39849984,0.44143661262765155,0.20557097337855895,0.0,0.20557097337855895
mvt.c,147456,4,1,20480,29588,20712.029520295204,0,93696,6986.6273062730625,5612960,1893376,0.7477629565209978,0.2522370434790023,39849984,0.44143661262765155,0.1408522522869771,0.047512591222119434,0.18836484350909652
gemm.c,12582912,1,1,4194304,4194304,4194304.0,0,0,0.0,12582912,0,1.0,0.0,39849984,0.44143661262765155,0.3157570151094665,0.0,0.3157570151094665
relu+histogram.c,24576,1,1,8192,8192,8192.0,0,84480,2739.6491228070176,5136384,1717760,0.7493837304847987,0.25061626951520133,39849984,0.44143661262765155,0.12889300030835646,0.04310566348031658,0.17199866378867304
