Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,163840,1,16,2048,2048,2048.0,1472,181104,56069.0125,327680,8971042,0.035239251157309574,0.9647607488426905,26509312,148600589,208528.91169871791,0.828156795954904,0.012360939431396786,0.33841097045445767,0.35077190988585444
latnrm.c,163840,4,1,1280,1282,1280.0125,3520,181104,57072.05,204802,9131528,0.02193602839659695,0.9780639716034031,26509312,148600589,208528.91169871791,0.828156795954904,0.00772566258980995,0.3444649185916255,0.3521905811814354
fft.c,163840,2,1,225280,394240,234542.7375,0,99184,3522.90625,37526838,563665,0.9852019544084256,0.014798045591574362,26509312,148600589,208528.91169871791,0.828156795954904,1.4156096544489725,0.021262905653681243,1.4368725601026537
dtw.cpp,665360,1,16,24576,24576,24576.0,0,75168,19279.05128205128,958464,751883,0.5603915462768666,0.4396084537231334,26509312,148600589,208528.91169871791,0.828156795954904,0.0361557478368356,0.02836297675322543,0.06451872459006103
spmv.c,665360,4,1,212992,213003,212995.33333333334,0,54768,10759.666666666666,8306818,419627,0.9519131788488898,0.048086821151110216,26509312,148600589,208528.91169871791,0.828156795954904,0.3133547185230609,0.015829418734065976,0.32918413725712686
conv.c,3276800,4,1,819200,819200,819200.0,0,0,0.0,6553600,0,1.0,0.0,26509312,148600589,208528.91169871791,0.828156795954904,0.24721878862793573,0.0,0.24721878862793573
mvt.c,163840,4,1,20480,36864,28405.31875,0,160624,20937.49375,4544851,3349999,0.5756728753554532,0.42432712464454675,26509312,148600589,208528.91169871791,0.828156795954904,0.17144356669837377,0.12637065043408144,0.2978142171324552
gemm.c,3276800,1,16,2097152,2097152,2097152.0,0,0,0.0,16777216,0,1.0,0.0,26509312,148600589,208528.91169871791,0.828156795954904,0.6328800988875154,0.0,0.6328800988875154
relu+histogram.c,163840,4,1,458752,458752,458752.0,0,172032,40888.73125,73400320,6542197,0.9181637350747913,0.0818362649252087,26509312,148600589,208528.91169871791,0.828156795954904,2.76885043263288,0.2467886378944878,3.0156390705273677
