Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,163840,1,16,2048,2048,2048.0,0,66560,17055.3,327680,2728848,0.10720660828233865,0.8927933917176614,26509312,176483328,49604.989743589744,0.7440899258343634,0.012360939431396786,0.10293922377163164,0.11530016320302842
latnrm.c,163840,4,1,1280,1280,1280.0,0,68608,18626.1,204800,2980176,0.06430189740833211,0.9356981025916679,26509312,176483328,49604.989743589744,0.7440899258343634,0.0077255871446229914,0.11241996774567367,0.12014555489029666
fft.c,163840,2,1,225280,394240,393184.0,0,2544,15.9,62909440,2544,0.9999595625532967,4.0437446703318086e-05,26509312,176483328,49604.989743589744,0.7440899258343634,2.3731072311495676,9.596627781211372e-05,2.3732031974273795
dtw.cpp,665360,1,16,24576,24576,24576.0,0,121072,7646.358974358975,958464,298208,0.7627002113518881,0.23729978864811183,26509312,176483328,49604.989743589744,0.7440899258343634,0.0361557478368356,0.011249179156365884,0.047404926993201486
spmv.c,665360,4,1,212992,212992,212992.0,0,59888,2097.230769230769,8306688,81792,0.990249485008011,0.009750514991989014,26509312,176483328,49604.989743589744,0.7440899258343634,0.31334981458590855,0.0030854063658838074,0.31643522095179233
conv.c,3276800,4,1,819200,983040,962560.0,0,0,0.0,7700480,0,1.0,0.0,26509312,176483328,49604.989743589744,0.7440899258343634,0.2904820766378245,0.0,0.2904820766378245
mvt.c,163840,4,1,36864,36864,36864.0,0,20736,222.3,5898240,35568,0.9940058727886039,0.005994127211396122,26509312,176483328,49604.989743589744,0.7440899258343634,0.22249690976514216,0.001341717204882571,0.2238386269700247
gemm.c,3276800,1,16,2097152,2097152,2097152.0,0,0,0.0,16777216,0,1.0,0.0,26509312,176483328,49604.989743589744,0.7440899258343634,0.6328800988875154,0.0,0.6328800988875154
relu+histogram.c,163840,4,1,458752,458752,458752.0,0,57600,3941.8,73400320,630688,0.9914807589814257,0.008519241018574271,26509312,176483328,49604.989743589744,0.7440899258343634,2.76885043263288,0.02379118703646477,2.792641619669345
