Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,CGRA Utilization,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,12288,1,16,293,2048,722.0980392156863,0,61440,2138.4117647058824,184135,545295,0.25243683424043434,0.7475631657595657,39849984,0.41613688607901933,0.004620704490119745,0.013683694327204749,0.018304398817324492
latnrm.c,7680,1,1,2560,2560,2560.0,0,63488,2843.778846153846,532480,591506,0.47374255551225725,0.5262574444877427,39849984,0.41613688607901933,0.013362113269606332,0.014843318381257067,0.028205431650863397
fft.c,1351680,1,16,28160,75094,39627.620689655174,0,0,0.0,1149201,0,1.0,0.0,39849984,0.41613688607901933,0.028838179709181313,0.0,0.028838179709181313
dtw.cpp,147456,1,16,3072,24576,4332.837638376383,0,75094,888.8782287822878,1174199,240886,0.8297727698336143,0.17022723016638577,39849984,0.41613688607901933,0.029465482344986638,0.006044820494783636,0.035510302839770275
spmv.c,393216,1,1,262144,262144,262144.0,0,45056,521.4158415841584,26476544,52663,0.9980149048556182,0.001985095144381813,39849984,0.41613688607901933,0.6644053859595025,0.001321531270878302,0.6657269172303808
conv.c,3932160,4,1,819200,819200,819200.0,0,0,0.0,8192000,0,1.0,0.0,39849984,0.41613688607901933,0.20557097337855895,0.0,0.20557097337855895
mvt.c,147456,4,1,20480,24122,20696.88560885609,0,83286,4560.461254612546,5608856,1235885,0.8194402096441633,0.1805597903558367,39849984,0.41613688607901933,0.1407492660473841,0.031013437797114296,0.1717627038444984
gemm.c,12582912,1,1,4194304,4194304,4194304.0,0,0,0.0,12582912,0,1.0,0.0,39849984,0.41613688607901933,0.3157570151094665,0.0,0.3157570151094665
relu+histogram.c,24576,1,1,8192,8192,8192.0,0,75094,1839.5693779904307,5136384,1153410,0.8166219752189022,0.18337802478109777,39849984,0.41613688607901933,0.12889300030835646,0.028943800830635216,0.15783680113899168
