Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,327680,1,16,1024,1024,1024.0,82944,3117568,1878674.2857142857,21504,39452160,0.0005447682789213588,0.9994552317210786,10359040,437181696,15845290.232611833,0.9662949462498456,0.002075868034103546,3.8084764611392563,3.8105523291733596
latnrm.c,327680,4,1,1280,1280,1280.0,83968,3118592,1879661.7142857143,26880,39472896,0.0006805101882096749,0.9993194898117903,10359040,437181696,15845290.232611833,0.9662949462498456,0.0025948350426294327,3.8104781910292846,3.813073026071914
fft.c,327680,1,16,28160,112640,111540.0,0,3174656,1791328.0,14277120,229289984,0.058616782667005804,0.9413832173329942,10359040,437181696,15845290.232611833,0.9662949462498456,1.3782280983566044,22.134288891634746,23.51251698999135
dtw.cpp,819200,1,16,6144,12288,12178.285714285714,56320,3161856,1777453.7142857143,681984,99537408,0.0068049105706009475,0.993195089429399,10359040,437181696,15845290.232611833,0.9662949462498456,0.06583467193871247,9.608748301000865,9.674582972939577
spmv.c,819200,4,1,212992,212992,212992.0,56320,3020032,1766798.2222222222,1916928,15901184,0.10758311542771759,0.8924168845722824,10359040,437181696,15845290.232611833,0.9662949462498456,0.18504880761151613,1.5350055603608057,1.7200543679723217
conv.c,6553600,4,1,819200,819200,819200.0,0,2986240,1493120.0,1638400,2986240,0.3542762247439801,0.64572377525602,10359040,437181696,15845290.232611833,0.9662949462498456,0.15816137402693686,0.2882738168787841,0.446435190905721
mvt.c,204800,4,1,20480,20480,20480.0,62464,3292416,2012605.284848485,3379200,332079872,0.01007336000738713,0.9899266399926129,10359040,437181696,15845290.232611833,0.9662949462498456,0.32620783393055724,32.057012232793774,32.38322006672433
gemm.c,5242880,1,16,262144,1048576,823881.1428571428,0,2266112,1287661.7142857143,11534336,18027264,0.39017969257415025,0.6098203074258498,10359040,437181696,15845290.232611833,0.9662949462498456,1.1134560731496355,1.7402446558754479,2.8537007290250833
relu+histogram.c,204800,4,1,262144,262144,262144.0,62464,3237632,1957987.2969696969,43253760,323067904,0.11807589954603395,0.8819241004539661,10359040,437181696,15845290.232611833,0.9662949462498456,4.175460274311133,31.187050537501545,35.362510811812676
fft.c,327680,1,16,28160,112640,111540.0,0,3174656,1791328.0,14277120,229289984,0.058616782667005804,0.9413832173329942,10359040,437181696,15845290.232611833,0.9662949462498456,1.3782280983566044,22.134288891634746,23.51251698999135
dtw.cpp,819200,1,16,6144,12288,12178.285714285714,56320,3161856,1777453.7142857143,681984,99537408,0.0068049105706009475,0.993195089429399,10359040,437181696,15845290.232611833,0.9662949462498456,0.06583467193871247,9.608748301000865,9.674582972939577
fft.c,327680,1,16,28160,112640,111540.0,0,3174656,1791328.0,14277120,229289984,0.058616782667005804,0.9413832173329942,10359040,437181696,15845290.232611833,0.9662949462498456,1.3782280983566044,22.134288891634746,23.51251698999135
dtw.cpp,819200,1,16,6144,12288,12178.285714285714,56320,3161856,1777453.7142857143,681984,99537408,0.0068049105706009475,0.993195089429399,10359040,437181696,15845290.232611833,0.9662949462498456,0.06583467193871247,9.608748301000865,9.674582972939577
fft.c,327680,1,16,28160,112640,111540.0,0,3174656,1791328.0,14277120,229289984,0.058616782667005804,0.9413832173329942,10359040,437181696,15845290.232611833,0.9662949462498456,1.3782280983566044,22.134288891634746,23.51251698999135
dtw.cpp,819200,1,16,6144,12288,12178.285714285714,56320,3161856,1777453.7142857143,681984,99537408,0.0068049105706009475,0.993195089429399,10359040,437181696,15845290.232611833,0.9662949462498456,0.06583467193871247,9.608748301000865,9.674582972939577
fft.c,327680,1,16,28160,112640,111540.0,0,3174656,1791328.0,14277120,229289984,0.058616782667005804,0.9413832173329942,10359040,437181696,15845290.232611833,0.9662949462498456,1.3782280983566044,22.134288891634746,23.51251698999135
dtw.cpp,819200,1,16,6144,12288,12178.285714285714,56320,3161856,1777453.7142857143,681984,99537408,0.0068049105706009475,0.993195089429399,10359040,437181696,15845290.232611833,0.9662949462498456,0.06583467193871247,9.608748301000865,9.674582972939577
fft.c,327680,1,16,28160,112640,111540.0,0,3174656,1791328.0,14277120,229289984,0.058616782667005804,0.9413832173329942,10359040,437181696,15845290.232611833,0.9662949462498456,1.3782280983566044,22.134288891634746,23.51251698999135
dtw.cpp,819200,1,16,6144,12288,12178.285714285714,56320,3161856,1777453.7142857143,681984,99537408,0.0068049105706009475,0.993195089429399,10359040,437181696,15845290.232611833,0.9662949462498456,0.06583467193871247,9.608748301000865,9.674582972939577
gemm.c,5242880,1,16,262144,1048576,823881.1428571428,0,2266112,1287661.7142857143,11534336,18027264,0.39017969257415025,0.6098203074258498,10359040,437181696,15845290.232611833,0.9662949462498456,1.1134560731496355,1.7402446558754479,2.8537007290250833
gemm.c,5242880,1,16,262144,1048576,823881.1428571428,0,2266112,1287661.7142857143,11534336,18027264,0.39017969257415025,0.6098203074258498,10359040,437181696,15845290.232611833,0.9662949462498456,1.1134560731496355,1.7402446558754479,2.8537007290250833
gemm.c,5242880,1,16,262144,1048576,823881.1428571428,0,2266112,1287661.7142857143,11534336,18027264,0.39017969257415025,0.6098203074258498,10359040,437181696,15845290.232611833,0.9662949462498456,1.1134560731496355,1.7402446558754479,2.8537007290250833
gemm.c,5242880,1,16,262144,1048576,823881.1428571428,0,2266112,1287661.7142857143,11534336,18027264,0.39017969257415025,0.6098203074258498,10359040,437181696,15845290.232611833,0.9662949462498456,1.1134560731496355,1.7402446558754479,2.8537007290250833
gemm.c,5242880,1,16,262144,1048576,823881.1428571428,0,2266112,1287661.7142857143,11534336,18027264,0.39017969257415025,0.6098203074258498,10359040,437181696,15845290.232611833,0.9662949462498456,1.1134560731496355,1.7402446558754479,2.8537007290250833
gemm.c,5242880,1,16,262144,1048576,823881.1428571428,0,2266112,1287661.7142857143,11534336,18027264,0.39017969257415025,0.6098203074258498,10359040,437181696,15845290.232611833,0.9662949462498456,1.1134560731496355,1.7402446558754479,2.8537007290250833
fft.c,327680,1,16,28160,112640,111540.0,0,3174656,1791328.0,14277120,229289984,0.058616782667005804,0.9413832173329942,10359040,437181696,15845290.232611833,0.9662949462498456,1.3782280983566044,22.134288891634746,23.51251698999135
dtw.cpp,819200,1,16,6144,12288,12178.285714285714,56320,3161856,1777453.7142857143,681984,99537408,0.0068049105706009475,0.993195089429399,10359040,437181696,15845290.232611833,0.9662949462498456,0.06583467193871247,9.608748301000865,9.674582972939577
fft.c,327680,1,16,28160,112640,111540.0,0,3174656,1791328.0,14277120,229289984,0.058616782667005804,0.9413832173329942,10359040,437181696,15845290.232611833,0.9662949462498456,1.3782280983566044,22.134288891634746,23.51251698999135
dtw.cpp,819200,1,16,6144,12288,12178.285714285714,56320,3161856,1777453.7142857143,681984,99537408,0.0068049105706009475,0.993195089429399,10359040,437181696,15845290.232611833,0.9662949462498456,0.06583467193871247,9.608748301000865,9.674582972939577
relu+histogram.c,204800,4,1,262144,262144,262144.0,62464,3237632,1957987.2969696969,43253760,323067904,0.11807589954603395,0.8819241004539661,10359040,437181696,15845290.232611833,0.9662949462498456,4.175460274311133,31.187050537501545,35.362510811812676
relu+histogram.c,204800,4,1,262144,262144,262144.0,62464,3237632,1957987.2969696969,43253760,323067904,0.11807589954603395,0.8819241004539661,10359040,437181696,15845290.232611833,0.9662949462498456,4.175460274311133,31.187050537501545,35.362510811812676
relu+histogram.c,204800,4,1,262144,262144,262144.0,62464,3237632,1957987.2969696969,43253760,323067904,0.11807589954603395,0.8819241004539661,10359040,437181696,15845290.232611833,0.9662949462498456,4.175460274311133,31.187050537501545,35.362510811812676
relu+histogram.c,204800,4,1,262144,262144,262144.0,62464,3237632,1957987.2969696969,43253760,323067904,0.11807589954603395,0.8819241004539661,10359040,437181696,15845290.232611833,0.9662949462498456,4.175460274311133,31.187050537501545,35.362510811812676
mvt.c,204800,4,1,20480,20480,20480.0,62464,3292416,2012605.284848485,3379200,332079872,0.01007336000738713,0.9899266399926129,10359040,437181696,15845290.232611833,0.9662949462498456,0.32620783393055724,32.057012232793774,32.38322006672433
