Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,checked_num_kernel,waiting_time_nolap,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,81920,1,1,4096,4096,4096.0,10905600,442476032,226690816.0,1310720,72541061120,1.8068336707971638e-05,0.9999819316632921,468615168,468615168,2003991296.0,0.4444885048038591,0,468615168,0.002797007202293546,154.79879029438501,154.8015873015873
latnrm.c,81920,1,1,2560,2560,2560.0,10909696,442480128,226694912.0,819200,72542371840,1.1292582918613225e-05,0.9999887074170813,468615168,468615168,2003991296.0,0.4444885048038591,0,468615168,0.001748129501433466,154.8015873015873,154.80333543108873
fft.c,81920,1,1,337920,337920,337920.0,9699328,441581056,225718016.0,108134400,72229765120,0.0014948512566376492,0.9985051487433624,468615168,468615168,2003991296.0,0.4444885048038591,0,468615168,0.23075309418921755,154.1345010838403,154.36525417802952
dtw.cpp,327680,1,1,49152,49152,49152.0,10299392,439410688,224855040.0,3932160,17988403200,0.00021854639330155305,0.9997814536066985,468615168,468615168,2003991296.0,0.4444885048038591,0,468615168,0.008391021606880638,38.38630165722677,38.39469267883365
spmv.c,327680,1,1,262144,262144,262144.0,10037248,439148544,224592896.0,20971520,17967431680,0.0011658355534303346,0.9988341644465697,468615168,468615168,2003991296.0,0.4444885048038591,0,468615168,0.044752115236696734,38.34154954199007,38.38630165722677
conv.c,1638400,1,1,1310720,1310720,1310720.0,8388608,423139328,215763968.0,20971520,3452223488,0.006038106110280347,0.9939618938897197,468615168,468615168,2003991296.0,0.4444885048038591,0,468615168,0.044752115236696734,7.366862457170827,7.411614572407524
mvt.c,81920,1,1,32768,32768,32768.0,10348544,441918976,226133760.0,10485760,72362803200,0.00014488439244201513,0.999855115607558,468615168,468615168,2003991296.0,0.4444885048038591,0,468615168,0.022376057618348367,154.4183973148731,154.44077337249144
gemm.c,1638400,1,1,8388608,8388608,8388608.0,0,414750720,207375360.0,134217728,3318005760,0.038878632413730914,0.9611213675862691,468615168,468615168,2003991296.0,0.4444885048038591,0,468615168,0.2864135375148591,7.080448919655968,7.366862457170827
relu+histogram.c,81920,1,1,524288,524288,524288.0,10381312,441951744,226166528.0,167772160,72373288960,0.002312788886868712,0.9976872111131313,468615168,468615168,2003991296.0,0.4444885048038591,0,468615168,0.35801692189357387,154.44077337249144,154.79879029438501
