Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,checked_num_kernel,waiting_time_nolap,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,102400,1,4,2048,2048,2048.0,32768,32768,32768.0,2048,32768,0.058823529411764705,0.9411764705882353,2097152,3792768,92160.0,0.2597588433159722,9,36736,0.0009765625,0.015625,0.0166015625
latnrm.c,102400,2,1,1920,1920,1920.0,34816,34816,34816.0,1920,34816,0.05226480836236934,0.9477351916376306,2097152,3792768,92160.0,0.2597588433159722,9,36736,0.00091552734375,0.0166015625,0.01751708984375
fft.c,102400,2,1,225280,225280,225280.0,0,0,0.0,225280,0,1.0,0.0,2097152,3792768,92160.0,0.2597588433159722,9,36736,0.107421875,0.0,0.107421875
dtw.cpp,327680,1,4,24576,24576,24576.0,0,0,0.0,24576,0,1.0,0.0,2097152,3792768,92160.0,0.2597588433159722,9,36736,0.01171875,0.0,0.01171875
spmv.c,327680,2,1,229376,229376,229376.0,0,0,0.0,229376,0,1.0,0.0,2097152,3792768,92160.0,0.2597588433159722,9,36736,0.109375,0.0,0.109375
conv.c,1638400,2,1,655360,655360,655360.0,0,0,0.0,655360,0,1.0,0.0,2097152,3792768,92160.0,0.2597588433159722,9,36736,0.3125,0.0,0.3125
mvt.c,163840,2,1,32768,32768,32768.0,0,0,0.0,32768,0,1.0,0.0,2097152,3792768,92160.0,0.2597588433159722,9,36736,0.015625,0.0,0.015625
gemm.c,1638400,1,4,2097152,2097152,2097152.0,0,0,0.0,2097152,0,1.0,0.0,2097152,3792768,92160.0,0.2597588433159722,9,36736,1.0,0.0,1.0
relu+histogram.c,81920,2,1,524288,524288,524288.0,24576,24576,24576.0,524288,24576,0.9552238805970149,0.04477611940298507,2097152,3792768,92160.0,0.2597588433159722,9,36736,0.25,0.01171875,0.26171875
