Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,checked_num_kernel,waiting_time_nolap,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,327680,1,16,2048,2048,2048.0,0,0,0.0,2048,0,1.0,0.0,2097152,3878144,2048.0,0.2488742404513889,9,1280,0.0009765625,0.0,0.0009765625
latnrm.c,327680,4,1,1280,1280,1280.0,2048,2048,2048.0,1280,2048,0.38461538461538464,0.6153846153846154,2097152,3878144,2048.0,0.2488742404513889,9,1280,0.0006103515625,0.0009765625,0.0015869140625
fft.c,327680,1,16,225280,225280,225280.0,0,0,0.0,225280,0,1.0,0.0,2097152,3878144,2048.0,0.2488742404513889,9,1280,0.107421875,0.0,0.107421875
dtw.cpp,819200,1,16,24576,24576,24576.0,0,0,0.0,24576,0,1.0,0.0,2097152,3878144,2048.0,0.2488742404513889,9,1280,0.01171875,0.0,0.01171875
spmv.c,819200,4,1,212992,212992,212992.0,0,0,0.0,212992,0,1.0,0.0,2097152,3878144,2048.0,0.2488742404513889,9,1280,0.1015625,0.0,0.1015625
conv.c,6553600,4,1,819200,819200,819200.0,0,0,0.0,819200,0,1.0,0.0,2097152,3878144,2048.0,0.2488742404513889,9,1280,0.390625,0.0,0.390625
mvt.c,204800,4,1,36864,36864,36864.0,0,0,0.0,36864,0,1.0,0.0,2097152,3878144,2048.0,0.2488742404513889,9,1280,0.017578125,0.0,0.017578125
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,0,0.0,2097152,0,1.0,0.0,2097152,3878144,2048.0,0.2488742404513889,9,1280,1.0,0.0,1.0
relu+histogram.c,204800,4,1,458752,458752,458752.0,0,0,0.0,458752,0,1.0,0.0,2097152,3878144,2048.0,0.2488742404513889,9,1280,0.21875,0.0,0.21875
