Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,CGRA Utilization,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,12288,1,16,-1024,2048,558.7137254901961,0,61440,2183.3843137254903,142472,556763,0.20375410269794847,0.7962458973020515,39849984,0.4209212658362578,0.003575208461815192,0.013971473614644363,0.017546682076459555
latnrm.c,7680,1,1,2560,2560,2560.0,0,63488,2884.153846153846,532480,599904,0.4702291802074208,0.5297708197925792,39849984,0.4209212658362578,0.013362113269606332,0.015054058741905643,0.028416172011511975
fft.c,1351680,1,16,26332,75094,36955.93103448276,0,0,0.0,1071722,0,1.0,0.0,39849984,0.4209212658362578,0.026893912931056634,0.0,0.026893912931056634
dtw.cpp,147456,1,16,-12280,24576,4166.623616236162,0,75094,888.8782287822878,1129155,240886,0.8241760648039,0.17582393519609998,39849984,0.4209212658362578,0.0283351431207601,0.006044820494783636,0.034379963615543734
spmv.c,393216,1,1,262144,262144,262144.0,0,45056,521.4158415841584,26476544,52663,0.9980149048556182,0.001985095144381813,39849984,0.4209212658362578,0.6644053859595025,0.001321531270878302,0.6657269172303808
conv.c,3932160,4,1,819200,819200,819200.0,0,0,0.0,8192000,0,1.0,0.0,39849984,0.4209212658362578,0.20557097337855895,0.0,0.20557097337855895
mvt.c,147456,4,1,15025,21847,20656.59778597786,0,83286,4560.461254612546,5597938,1235885,0.8191517398094741,0.18084826019052586,39849984,0.4209212658362578,0.1404752885220732,0.031013437797114296,0.1714887263191875
gemm.c,12582912,1,1,4194304,4194304,4194304.0,0,0,0.0,12582912,0,1.0,0.0,39849984,0.4209212658362578,0.3157570151094665,0.0,0.3157570151094665
relu+histogram.c,24576,1,1,8192,8193,8192.004784688996,0,75094,1825.049441786284,5136387,1144306,0.8178057739806738,0.18219422601932622,39849984,0.4209212658362578,0.12889307559069535,0.028715344026235996,0.15760841961693134
