Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,checked_num_kernel,waiting_time_nolap,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,204800,1,16,1024,1024,1024.0,296448,296448,296448.0,1024,296448,0.0034423407917383822,0.9965576592082617,868992,1761216,2029568.0,0.6380419305739677,9,298752,0.0011783767859773163,0.34114007954043307,0.3423184563264104
latnrm.c,204800,4,1,1280,1280,1280.0,297472,297472,297472.0,1280,297472,0.004284490145672665,0.9957155098543273,868992,1761216,2029568.0,0.6380419305739677,9,298752,0.0014729709824716454,0.3423184563264104,0.343791427308882
fft.c,204800,1,16,28160,28160,28160.0,262144,262144,262144.0,28160,262144,0.09700176366843033,0.9029982363315696,868992,1761216,2029568.0,0.6380419305739677,9,298752,0.032405361614376196,0.30166445721019297,0.33406981882456915
dtw.cpp,819200,1,16,6144,6144,6144.0,290304,290304,290304.0,6144,290304,0.02072538860103627,0.9792746113989638,868992,1761216,2029568.0,0.6380419305739677,9,298752,0.007070260715863898,0.33406981882456915,0.34114007954043307
spmv.c,819200,4,1,212992,212992,212992.0,290304,290304,290304.0,212992,290304,0.4231943031536114,0.5768056968463886,868992,1761216,2029568.0,0.6380419305739677,9,298752,0.2451023714832818,0.33406981882456915,0.5791721903078509
conv.c,5242880,4,1,868992,868992,868992.0,0,0,0.0,868992,0,1.0,0.0,868992,1761216,2029568.0,0.6380419305739677,9,298752,1.0,0.0,1.0
mvt.c,204800,4,1,20480,20480,20480.0,296448,296448,296448.0,20480,296448,0.06462035541195477,0.9353796445880452,868992,1761216,2029568.0,0.6380419305739677,9,298752,0.023567535719546326,0.34114007954043307,0.36470761525997936
gemm.c,5242880,1,16,262144,262144,262144.0,0,0,0.0,262144,0,1.0,0.0,868992,1761216,2029568.0,0.6380419305739677,9,298752,0.30166445721019297,0.0,0.30166445721019297
relu+histogram.c,204800,4,1,360000,360000,360000.0,296448,296448,296448.0,360000,296448,0.5484059666569172,0.4515940333430828,868992,1761216,2029568.0,0.6380419305739677,9,298752,0.41427308882015024,0.34114007954043307,0.7554131683605833
