Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,checked_num_kernel,waiting_time_nolap,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,102400,1,8,1024,1024,1024.0,245760,245760,245760.0,1024,245760,0.004149377593360996,0.995850622406639,819200,2095764,1168384.0,0.6770887586805555,9,248064,0.00125,0.3,0.30125
latnrm.c,102400,4,1,1280,1280,1280.0,246784,246784,246784.0,1280,246784,0.005159958720330237,0.9948400412796697,819200,2095764,1168384.0,0.6770887586805555,9,248064,0.0015625,0.30125,0.3028125
fft.c,102400,2,1,225280,225280,225280.0,0,0,0.0,225280,0,1.0,0.0,819200,2095764,1168384.0,0.6770887586805555,9,248064,0.275,0.0,0.275
dtw.cpp,409600,1,8,24576,24576,24576.0,212992,212992,212992.0,24576,212992,0.10344827586206896,0.896551724137931,819200,2095764,1168384.0,0.6770887586805555,9,248064,0.03,0.26,0.29
spmv.c,409600,4,1,212992,212992,212992.0,0,0,0.0,212992,0,1.0,0.0,819200,2095764,1168384.0,0.6770887586805555,9,248064,0.26,0.0,0.26
conv.c,2621440,4,1,819200,819200,819200.0,0,0,0.0,819200,0,1.0,0.0,819200,2095764,1168384.0,0.6770887586805555,9,248064,1.0,0.0,1.0
mvt.c,102400,4,1,20480,20480,20480.0,225280,225280,225280.0,20480,225280,0.08333333333333333,0.9166666666666666,819200,2095764,1168384.0,0.6770887586805555,9,248064,0.025,0.275,0.3
gemm.c,2621440,1,8,524288,524288,524288.0,0,0,0.0,524288,0,1.0,0.0,819200,2095764,1168384.0,0.6770887586805555,9,248064,0.64,0.0,0.64
relu+histogram.c,81920,4,1,266644,266644,266644.0,237568,237568,237568.0,266644,237568,0.5288331098823511,0.47116689011764895,819200,2095764,1168384.0,0.6770887586805555,9,248064,0.3254931640625,0.29,0.6154931640625
