Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,204800,1,16,2048,2048,2048.0,9466880,165186176,87220848.0,262144,11164268544,2.3480073397241934e-05,0.9999765199266027,191202304,191202304,727139879.548718,0.004009390749380069,0.0013710295039122541,58.38982224816705,58.391193277670965
latnrm.c,204800,2,1,4480,4480,4480.0,9468928,165188224,87222896.0,573440,11164530688,5.136002256906135e-05,0.9999486399774309,191202304,191202304,727139879.548718,0.004009390749380069,0.002999127039808056,58.391193277670965,58.39419240471077
fft.c,5242880,1,8,619520,619520,619520.0,7471104,140350080,74019379.2,3097600,370096896,0.00830022959395414,0.9916997704060458,191202304,191202304,727139879.548718,0.004009390749380069,0.01620064159896316,1.9356298970121197,1.9518305386110828
dtw.cpp,665360,1,4,32768,32768,32768.0,8352768,161534368,84668134.97435898,1277952,3302057264,0.00038686718617297,0.999613132813827,191202304,191202304,727139879.548718,0.004009390749380069,0.006683768831572239,17.269965868193722,17.276649637025294
spmv.c,665360,1,1,262144,262144,262144.0,8090624,161272224,84405990.97435898,10223616,3291833648,0.0030961352825285226,0.9969038647174715,191202304,191202304,727139879.548718,0.004009390749380069,0.05347015065257791,17.216495717541143,17.269965868193722
conv.c,5242880,1,1,3276800,3276800,3276800.0,4194304,137073280,70742579.2,16384000,353712896,0.044269487739772885,0.9557305122602271,191202304,191202304,727139879.548718,0.004009390749380069,0.08568934399451589,1.8499405530176039,1.9356298970121197
mvt.c,204800,2,1,32768,32768,32768.0,8385536,164104832,86139504.0,4194304,11025856512,0.00038026153006619115,0.9996197384699338,191202304,191202304,727139879.548718,0.004009390749380069,0.021936472062596066,57.665918670101384,57.687855142163976
gemm.c,5242880,1,4,4194304,4194304,4194304.0,0,132878976,66548275.2,20971520,332741376,0.05928966751610888,0.9407103324838911,191202304,191202304,727139879.548718,0.004009390749380069,0.10968236031298033,1.7402581927046235,1.8499405530176039
relu+histogram.c,204800,1,1,1048576,1048576,1048576.0,8418304,164137600,86172272.0,134217728,11030050816,0.012022079858705341,0.9879779201412947,191202304,191202304,727139879.548718,0.004009390749380069,0.7019671060030741,57.687855142163976,58.38982224816705
