Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,CGRA Utilization,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,20480,1,16,2048,2048,2048.0,0,7168,7.521511017838405,1951744,7168,0.996340825927862,0.0036591740721380033,39943168,0.2931129513319376,0.04886302458533084,0.0001794549696208373,0.049042479554951675
latnrm.c,12800,1,1,2560,2560,2560.0,0,9216,73.728,320000,9216,0.9720062208398134,0.027993779160186624,39943168,0.2931129513319376,0.008011382572358807,0.00023072781808393365,0.008242110390442741
fft.c,2252800,1,16,225280,225280,225280.0,0,0,0.0,3829760,0,1.0,0.0,39943168,0.2931129513319376,0.0958802266259902,0.0,0.0958802266259902
dtw.cpp,245760,1,16,24576,24576,24576.0,0,0,0.0,3981312,0,1.0,0.0,39943168,0.2931129513319376,0.09967441741225934,0.0,0.09967441741225934
spmv.c,655360,1,1,262144,262144,262144.0,0,0,0.0,15990784,0,1.0,0.0,39943168,0.2931129513319376,0.40033840079985644,0.0,0.40033840079985644
conv.c,6553600,4,1,819200,819200,819200.0,0,0,0.0,4915200,0,1.0,0.0,39943168,0.2931129513319376,0.12305483631143128,0.0,0.12305483631143128
mvt.c,245760,4,1,20480,36864,21997.037037037036,0,0,0.0,3563520,0,1.0,0.0,39943168,0.2931129513319376,0.08921475632578768,0.0,0.08921475632578768
gemm.c,20971520,1,16,2097152,2097152,2097152.0,0,0,0.0,2097152,0,1.0,0.0,39943168,0.2931129513319376,0.05250339682621068,0.0,0.05250339682621068
relu+histogram.c,40960,4,1,7168,7168,7168.0,0,0,0.0,6995968,0,1.0,0.0,39943168,0.2931129513319376,0.1751480503499372,0.0,0.1751480503499372
