Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,204800,1,16,2048,2048,2048.0,4938752,106831616,55838416.0,262144,7147317248,3.667591300817271e-05,0.9999633240869918,132844544,132844544,464365237.98974365,0.08805352127324992,0.001973314011300306,53.80211360430429,53.80408691831559
latnrm.c,204800,4,1,1280,1280,1280.0,4940800,106833664,55840464.0,163840,7147579392,2.2921920203638338e-05,0.9999770780797964,132844544,132844544,464365237.98974365,0.08805352127324992,0.0012333212570626913,53.80408691831559,53.80532023957265
fft.c,5242880,1,16,506880,506880,506880.0,3407872,89369344,46470860.8,2534400,232354304,0.01078979089603219,0.9892102091039678,132844544,132844544,464365237.98974365,0.08805352127324992,0.019077938195188507,1.7490692278638105,1.768147166058999
dtw.cpp,665360,1,16,73728,73728,73728.0,4045824,104197024,54026119.79487179,2875392,2107018672,0.0013628134459740344,0.998637186554026,132844544,132844544,464365237.98974365,0.08805352127324992,0.021644788061450232,15.860784406772476,15.882429194833925
spmv.c,665360,1,1,131072,131072,131072.0,3914752,104065952,53895047.79487179,5111808,2101906864,0.002426085761806671,0.9975739142381933,132844544,132844544,464365237.98974365,0.08805352127324992,0.03847962322035597,15.82230478355212,15.860784406772476
conv.c,5242880,1,1,1310720,1310720,1310720.0,2097152,88058624,45160140.8,6553600,225800704,0.028205201656174184,0.9717947983438258,132844544,132844544,464365237.98974365,0.08805352127324992,0.049332850282507654,1.6997363775813028,1.7490692278638105
mvt.c,204800,1,1,32768,32768,32768.0,4119552,106012416,55019216.0,4194304,7042459648,0.0005952192386018277,0.9994047807613982,132844544,132844544,464365237.98974365,0.08805352127324992,0.0315730241808049,53.012787999784166,53.044361023964974
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,85961472,43062988.8,10485760,215314944,0.04643811916547435,0.9535618808345256,132844544,132844544,464365237.98974365,0.08805352127324992,0.07893256045201225,1.6208038171292907,1.6997363775813028
relu+histogram.c,204800,1,1,786432,786432,786432.0,4152320,106045184,55051984.0,100663296,7046653952,0.014084067141159591,0.9859159328588404,132844544,132844544,464365237.98974365,0.08805352127324992,0.7577525803393175,53.044361023964974,53.80211360430429
